command,mean,stddev,median,user,system,min,max
./main < ./34.txt,0.004910543164116832,0.0021210263987724103,0.005999774300000001,0.0031271602781641162,0.0021022621140472887,0,0.0072230983
./main < ./65000.txt,0.014650524947798733,0.0007221260111695516,0.014313683300000001,0.013951817861635223,0.0011553483018867917,0.014102010299999999,0.0174816153
./main < ./73.txt,0.004381772482753826,0.0024957204298410754,0.006012620300000001,0.00278106464534075,0.0019940663143254507,0,0.007318515300000001
./main < ./770000.txt,0.22179534948000001,0.0021546885436577465,0.22169529080000003,0.21425059999999999,0.0075162641999999965,0.21746088330000002,0.2285180223
./main < ./20000.txt,0.00983141348987341,0.00546156479211492,0.008073109300000002,0.008801461265822784,0.0014280406582278483,0.0034174663000000006,0.0229682043
./main < ./56000.txt,0.012849787970329674,0.0009222514075313276,0.0122971163,0.012339944615384613,0.0010060179120879123,0.0120151433,0.0153462023
./main < ./76000.txt,0.01701393105886524,0.00041391064832685284,0.0168954963,0.01626605645390071,0.0012200929078014186,0.0167037553,0.0186180833
./main < ./58000.txt,0.013354171372368419,0.0010407486642352122,0.012745690300000001,0.012911869210526323,0.0009578110526315788,0.0124829433,0.0175137993
./main < ./88.txt,0.0054679098536856725,0.0016987048103409845,0.006040160300000001,0.0034857206675938837,0.0022495739082058416,0,0.0072453753000000015
./main < ./32.txt,0.005610811962172281,0.0017457883071573534,0.006039233300000001,0.003593328689138576,0.0022896584269662913,0,0.007319503300000001
./main < ./140000.txt,0.03364339443,0.00018217202911670636,0.033627430800000004,0.032084949999999994,0.0019526064,0.03310021430000001,0.03438922330000001
./main < ./740000.txt,0.22650867482000006,0.0043781187231623706,0.22558977730000002,0.21895806999999998,0.0075374242,0.2222400613,0.2527487273
./main < ./96.txt,0.0050077556432545165,0.0022720645986492086,0.0060418453,0.003081380305980529,0.002259658831710711,0,0.0075042603
./main < ./700.txt,0.005605292362190819,0.00208141957647209,0.0064538083000000015,0.0035426483392226155,0.002418676890459365,0,0.007497288300000001
./main < ./840000.txt,0.26521801032,0.007279873141755064,0.2637029848,0.2559674699999999,0.009170362399999998,0.2603064813,0.3075569413
./main < ./5500.txt,0.007307462336095506,0.0038291355152454652,0.009719971300000001,0.0055302586516853955,0.002135643005617977,0,0.0112697623
./main < ./330000.txt,0.07827297868000001,0.0011199486189413983,0.07814746280000001,0.07435129000000003,0.0040730108000000004,0.0767027093,0.08590414230000001
./main < ./84.txt,0.005678228681084838,0.0021134865008082845,0.0060527473,0.003421921891515994,0.0024743794158553533,0,0.038149253300000005
./main < ./260000.txt,0.060125355740000004,0.0016763125106866422,0.0598259038,0.05707693999999999,0.0031967773999999997,0.058949673300000005,0.07545026830000001
